city|location|price|bedrooms|baths|size
Lahore|DHA 9 Town, DHA Defence|19500000|3|4|1125
Lahore|Lake City - Sector M-1, Lake City|52500000|6|6|2700
Lahore|DHA 9 Town, DHA Defence|31000000|3|4|1125
Lahore|Park View City, Lahore|14000000|4|4|1125
Lahore|Nasheman-e-Iqbal Phase 2, Nasheman-e-Iqbal|28500000|5|5|2250
Lahore|DHA Phase 6, DHA Defence|44500000|4|5|2250
Lahore|Ali View Garden, Lahore|28500000|3|4|1350
Lahore|Bahria Town - Quaid Block, Bahria Town - Sector E|46000000|5|5|2250
Lahore|DHA Phase 4 - Block CC, DHA Phase 4|61000000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|70000000|5|6|4500
Lahore|Tajpura, Lahore|4800000|0|0|562
Lahore|Tajpura, Lahore|6600000|0|0|562
Lahore|DHA Phase 4 - Block EE, DHA Phase 4|44900000|4|5|2250
Lahore|DHA Phase 6 - Block A, DHA Phase 6|55000000|4|5|2250
Lahore|DHA Phase 6, DHA Defence|72500000|5|6|4500
Lahore|Canal Garden, Lahore|19500000|5|6|1125
Lahore|Paragon City, Lahore|22000000|3|4|1125
Lahore|Gulberg 3, Gulberg|55000000|5|5|2250
Lahore|Jubilee Town, Lahore|22000000|5|4|1575
Lahore|Tariq Gardens - Block E, Tariq Gardens|39000000|6|6|2250
Lahore|DHA Phase 7 - Block Q, DHA Phase 7|73600000|5|6|4500
Lahore|DHA 9 Town, DHA Defence|20000000|3|4|1125
Lahore|DHA Phase 7, DHA Defence|71500000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|71000000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|500000000|6|6|9000
Lahore|DHA Phase 6, DHA Defence|73800000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|36000000|4|5|2250
Lahore|Park View City, Lahore|16000000|4|4|1125
Lahore|Bahria Town - Rafi Block, Bahria Town - Sector E|42500000|5|5|2250
Lahore|Bahria Town - Tulip Extension, Bahria Town - Sector C|50000000|5|5|2250
Lahore|DHA Phase 6, DHA Defence|121000000|5|6|4500
Lahore|Central Park - Block F, Central Park Housing Scheme|27000000|3|4|2250
Lahore|Al-Kabir Town - Phase 2, Al-Kabir Town|13000000|3|3|675
Lahore|DHA Phase 6, DHA Defence|74000000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|64000000|5|6|4500
Lahore|DHA Phase 7 - Block R, DHA Phase 7|75000000|5|6|4500
Lahore|DHA Phase 6 - Block N, DHA Phase 6|81000000|5|6|4500
Lahore|Pak Arab Housing Society Phase 1, Pak Arab Housing Society|41000000|5|6|2250
Lahore|DHA Phase 4 - Block FF, DHA Phase 4|64000000|5|6|4500
Lahore|DHA Phase 8, DHA Defence|55000000|4|5|2700
Lahore|DHA Phase 6, DHA Defence|84500000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|64000000|5|6|4500
Lahore|DHA 9 Town, DHA Defence|20000000|3|4|1125
Lahore|Tariq Gardens, Lahore|42000000|5|6|2250
Lahore|LDA Avenue - Block J, LDA Avenue|37500000|6|0|2250
Lahore|Bahria Town - Gardenia Block, Bahria Town - Sector C|25000000|5|6|1642
Lahore|DHA 9 Town, DHA Defence|20000000|3|4|0
Lahore|Allama Iqbal Town - Nishtar Block, Allama Iqbal Town|50000000|5|6|2250
Lahore|Bahria Town - Sector B, Bahria Town|28000000|5|6|2250
Lahore|DHA 9 Town, DHA Defence|19000000|3|4|1125
Lahore|Central Park Housing Scheme, Lahore|17500000|4|4|1125
Lahore|DHA Phase 7 - Block S, DHA Phase 7|73500000|5|6|4500
Lahore|DHA Phase 5, DHA Defence|92000000|6|6|4500
Lahore|DHA Phase 3, DHA Defence|72500000|5|6|4500
